title,authors,average_rating,isbn,isbn13,publication_date,publisher
Forgiven (Firstborn  #2),Karen Kingsbury,4.41,0842387447,9780842387446,9/23/2005,Tyndale House Publishers
Swan Song,Robert R. McCammon,4.28,0671741039,9780671741037,6/1/1987,Pocket Books
The Shining,Stephen King,4.22,0450040186,9780450040184,7/1/1980,New English Library (Hodder & Stoughton)
The Man and the Author: John Milton: Twentieth Century Perspectives,J. Martin Evans,0.0,0415940478,9780415940474,11/8/2002,Routledge
The Feast of All Saints,Anne Rice,3.85,0345376048,9780345376046,1/28/1992,Ballantine Books
One Flew Over the Cuckoo's Nest,Ken Kesey,4.2,0451137094,9780451137098,2/1/1963,Signet
Virgin Earth  (Tradescant  #2),Philippa Gregory,3.62,0743272536,9780743272537,4/5/2006,Washington Square Press
Cattus Petasatus: The Cat in the Hat in Latin,Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg,4.17,0865164711,9780865164710,5/6/2005,Bolchazy-Carducci Publishers
Celtic Tree Mysteries: Practical Druid Magic & Divination,Steve Blamires/Sandy Leuthner,3.92,1567180701,9781567180701,10/8/2002,Llewellyn Publications
The Farming of Bones,Edwidge Danticat,4.07,0140280499,9780140280494,9/1/1999,Penguin Books
Rachel's Holiday (Walsh Family  #2),Marian Keyes,3.95,0060090383,9780060090388,1/23/2007,William Morrow Paperbacks
Running Dog,Don DeLillo,3.43,0679722947,9780679722946,7/17/1989,Vintage Contemporaries
Escape from Freedom,Erich Fromm,4.24,0805031499,9780805031492,9/15/1994,Holt McDougal
Lyrical and Critical Essays,Albert Camus/Ellen Conroy Kennedy/Philip Thody,4.27,0394708520,9780394708522,9/12/1970,Vintage
Crossroads and Other Tales of Valdemar (Tales of Valdemar #3),Mercedes Lackey/Rosemary Edghill/Sarah A. Hoyt/Tanya Huff/Fiona Patton/Janni Lee Simner/Mickey Zucker Reichert/Judith Tarr/Larry Dixon/Michael Z. Williamson/Nancy Asire/Richard Lee Byers/Brenda Cooper/Stephanie D. Shaver/Kate Paulk/Michael Longcor/Ben Ohlander,3.87,0756403251,9780756403256,12/6/2005,DAW
Chronicles: Volume One,Bob Dylan,3.98,0743244583,9780743244589,9/13/2005,Simon  Schuster
Because I Remember Terror  Father  I Remember You,Sue William Silverman,4.11,0820321753,9780820321752,9/2/1999,University of Georgia Press
Flap Your Wings,P.D. Eastman,4.24,0375802436,9780375802430,1/25/2000,Random House Books for Young Readers
The Legacy of Mark Rothko,Lee Seldes,3.87,0306807254,9780306807251,8/22/1996,Da Capo Press
The MacMillan Bible Atlas,Yohanan Aharoni/Michael Avi-Yonah,4.32,0025006053,9780025006058,3/17/1993,Webster's New World
The Woman in White,Wilkie Collins/Matthew Sweet,4.0,0141439610,9780141439617,2/27/2003,Penguin Classics
The Complete Stories and Poems,Edgar Allan Poe,4.38,0385074077,9780385074070,8/15/1984,Doubleday & Company  Inc.
American Slavery  American Freedom,Edmund S. Morgan,4.11,039332494X,9780393324945,10/17/2003,W. W. Norton  Company
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9781593080969,1/16/2004,Barnes  Noble Classics
